City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Butaritari,84,KI,1574571619,65,3.07,172.79,84.18,7.2
Nikolskoye,28,RU,1574571631,85,59.7,30.79,15.01,4.47
Rikitea,47,PF,1574571333,65,-23.12,-134.97,72.34,10.67
Kavaratti,20,IN,1574571622,66,10.57,72.64,87.8,6.85
Springbok,0,ZA,1574571694,27,-29.67,17.88,61.34,1.12
Anaco,60,VE,1574571785,95,9.43,-64.46,71.37,3.15
Hermanus,0,ZA,1574571616,85,-34.42,19.24,59.0,3.0
Ribeira Grande,100,PT,1574571613,90,38.52,-28.7,63.68,13.85
Upernavik,100,GL,1574571635,69,72.79,-56.15,31.95,19.24
Tocopilla,22,CL,1574571785,80,-22.09,-70.2,49.57,1.43
Egvekinot,9,RU,1574571786,81,66.32,-179.17,-9.18,3.11
Hilo,90,US,1574571611,83,19.71,-155.08,73.4,8.05
Barrow,0,AR,1574571698,82,-38.31,-60.23,48.65,12.12
Leningradskiy,95,RU,1574571648,97,69.38,178.42,-6.88,12.48
Areia Branca,29,BR,1574571786,78,-10.76,-37.31,77.0,8.05
Sur,0,OM,1574571786,51,22.57,59.53,75.72,12.39
Darlawn,20,IN,1574571787,73,24.02,92.93,73.4,5.82
East London,90,ZA,1574571619,93,-33.02,27.91,64.4,10.29
Bredasdorp,18,ZA,1574571632,77,-34.53,20.04,59.0,8.05
Jamestown,0,AU,1574571400,9,-33.21,138.6,83.39,14.92
Sao Jose da Coroa Grande,33,BR,1574571697,77,-8.9,-35.15,78.49,13.29
College,90,US,1574571788,92,64.86,-147.8,28.4,1.52
Kununurra,40,AU,1574571788,24,-15.77,128.74,102.2,6.93
Busselton,100,AU,1574571334,22,-33.64,115.35,81.0,12.91
Victoria,75,BN,1574571523,66,5.28,115.24,87.8,3.36
Ushuaia,100,AR,1574571615,89,-54.81,-68.31,51.8,17.22
Castro,40,CL,1574571623,100,-42.48,-73.76,50.0,9.17
Naze,2,NG,1574571662,94,5.43,7.07,75.07,1.54
Dikson,100,RU,1574571620,94,73.51,80.55,2.37,21.72
Severo-Kurilsk,99,RU,1574571647,98,50.68,156.12,34.97,14.5
Mar del Plata,100,AR,1574571644,44,-46.43,-67.52,66.56,19.8
Kensington,5,CA,1574571790,68,46.44,-63.64,30.0,9.17
Atuona,6,PF,1574571624,77,-9.8,-139.03,79.63,19.08
Albany,90,US,1574571618,51,42.65,-73.75,37.4,6.06
